Body-Up, Triceps," Abdominals, Forearms"
Bodyweight Flyes, Chest," Abdominals, Shoulders, Triceps"
Bodyweight Mid Row, Middle Back," Biceps, Lats"
Bodyweight Squat, Quadriceps," Glutes, Hamstrings"
Bodyweight Walking Lunge, Quadriceps," Calves, Glutes, Hamstrings"
Bosu Ball Cable Crunch With Side Bends, Abdominals,none
Bottoms Up, Abdominals,none
Bottoms-Up Clean From The Hang Position, Forearms," Biceps, Shoulders"
Box Jump (Multiple Response), Hamstrings," Abductors, Adductors, Calves, Glutes, Quadriceps"
Box Skip, Hamstrings," Abductors, Adductors, Calves, Glutes, Quadriceps"
Box Squat, Quadriceps," Adductors, Calves, Glutes, Hamstrings, Lower Back"
Box Squat with Bands, Quadriceps," Abductors, Adductors, Calves, Glutes, Hamstrings, Lower Back"
Box Squat with Chains, Quadriceps," Abductors, Adductors, Calves, Glutes, Hamstrings, Lower Back"
Brachialis-SMR, Biceps,none
Bradford/Rocky Presses, Shoulders, Triceps
Butt Lift (Bridge), Glutes, Hamstrings
Butt-Ups, Abdominals,none
Butterfly, Chest,none
Cable Chest Press, Chest," Shoulders, Triceps"
Cable Crossover, Chest, Shoulders
Cable Crunch, Abdominals,none
Cable Deadlifts, Quadriceps," Forearms, Glutes, Hamstrings, Lower Back"
Cable Hammer Curls - Rope Attachment, Biceps,none
Cable Hip Adduction, Quadriceps,none
Cable Incline Pushdown, Lats,none
Cable Incline Triceps Extension, Triceps,none
Cable Internal Rotation, Shoulders,none
Cable Iron Cross, Chest,none
Cable Judo Flip, Abdominals,none
Cable Lying Triceps Extension, Triceps,none
Cable One Arm Tricep Extension, Triceps,none
Cable Preacher Curl, Biceps, Forearms
Cable Rear Delt Fly, Shoulders,none
Cable Reverse Crunch, Abdominals,none
Cable Rope Overhead Triceps Extension, Triceps,none
Cable Rope Rear-Delt Rows, Shoulders," Biceps, Middle Back"
Cable Russian Twists, Abdominals,none
Cable Seated Crunch, Abdominals,none
Cable Seated Lateral Raise, Shoulders," Middle Back, Traps"
Cable Shoulder Press, Shoulders, Triceps
Cable Shrugs, Traps,none
Cable Wrist Curl, Forearms,none
Calf Press, Calves,none
Calf Press On The Leg Press Machine, Calves,none
Calf Raise On A Dumbbell, Calves,none
Calf Raises - With Bands, Calves,none
Calf Stretch Elbows Against Wall, Calves,none
Calf Stretch Hands Against Wall, Calves,none
Calf-Machine Shoulder Shrug, Traps,none
Calves-SMR, Calves,none
Car Deadlift, Quadriceps," Forearms, Glutes, Hamstrings, Lower Back, Traps"
Car Drivers, Shoulders, Forearms
Carioca Quick Step, Adductors," Abdominals, Abductors, Calves, Glutes, Hamstrings, Quadriceps"
Cat Stretch, Lower Back," Middle Back, Traps"
Catch and Overhead Throw, Lats," Abdominals, Chest, Shoulders"
Chain Handle Extension, Triceps,none
Chain Press, Chest," Shoulders, Triceps"
Chair Leg Extended Stretch, Hamstrings, Adductors
Chair Lower Back Stretch, Lats, Lower Back
Chair Squat, Quadriceps," Calves, Glutes, Hamstrings"
Chair Upper Body Stretch, Shoulders," Biceps, Chest"
Chest And Front Of Shoulder Stretch, Chest, Shoulders
Chest Push (multiple response), Chest," Abdominals, Shoulders, Triceps"
Chest Push (single response), Chest," Abdominals, Shoulders, Triceps"
Chest Push from 3 point stance, Chest," Abdominals, Shoulders, Triceps"
Chest Push with Run Release, Chest," Abdominals, Shoulders, Triceps"
Chest Stretch on Stability Ball, Chest,none
Child's Pose, Lower Back," Glutes, Middle Back"
Chin To Chest Stretch, Neck, Traps
Chin-Up, Lats," Biceps, Forearms, Middle Back"
Circus Bell, Shoulders," Forearms, Glutes, Hamstrings, Lower Back, Traps, Triceps"
Clean, Hamstrings," Calves, Forearms, Glutes, Lower Back, Quadriceps, Shoulders, Traps"
Clean and Jerk, Shoulders," Abdominals, Glutes, Hamstrings, Lower Back, Quadriceps, Traps, Triceps"
Clean and Press, Shoulders," Abdominals, Calves, Glutes, Hamstrings, Lower Back, Middle Back, Quadriceps, Shoulders, Traps, Triceps"
Clean Deadlift, Hamstrings," Forearms, Glutes, Lower Back, Middle Back, Quadriceps, Traps"
Clean from Blocks, Quadriceps," Calves, Glutes, Hamstrings, Shoulders, Traps"
Clean Pull, Quadriceps," Forearms, Glutes, Hamstrings, Lower Back, Traps"
Clean Shrug, Traps," Forearms, Shoulders"
